iter	Passed	Remaining
453	758	911
454	758	909
455	759	906
456	760	904
457	761	901
458	763	899
459	764	897
460	765	895
461	766	893
462	768	890
463	769	888
464	770	886
465	771	883
466	772	881
467	773	878
468	774	876
469	775	874
470	776	871
471	777	869
472	778	867
473	779	864
474	780	862
475	781	860
476	782	857
477	783	855
478	784	853
479	785	850
480	786	848
481	787	846
482	788	843
483	789	841
484	790	839
485	791	837
486	792	835
487	793	832
488	795	830
489	796	828
490	797	826
491	798	824
492	799	822
493	800	819
494	801	817
495	802	815
496	803	813
497	804	810
498	805	808
499	806	806
500	807	804
501	808	802
502	809	800
503	810	797
504	811	795
505	812	793
506	813	791
507	814	789
508	815	787
509	816	784
510	817	782
511	819	780
512	820	778
513	821	776
514	822	774
515	823	772
516	824	770
517	825	768
518	826	766
519	827	764
520	828	762
521	829	759
522	830	757
523	831	755
524	833	753
525	834	751
526	835	749
527	836	747
528	837	745
529	838	743
530	839	741
531	840	739
532	841	737
533	842	735
534	843	733
535	844	731
536	845	729
537	846	727
538	848	725
539	849	723
540	850	721
541	851	719
542	852	717
543	853	715
544	854	713
545	855	711
546	856	709
547	857	707
548	858	705
549	859	703
550	860	701
551	861	699
552	862	697
553	864	695
554	865	694
555	866	692
556	868	690
557	869	688
558	870	686
559	871	684
560	872	682
561	873	680
562	875	679
563	876	677
564	877	675
565	879	674
566	880	672
567	881	670
568	882	668
569	884	666
570	885	665
571	886	663
572	887	661
573	889	659
574	890	658
575	894	658
576	896	657
577	897	655
578	899	653
579	900	651
580	901	649
581	902	647
582	903	646
583	904	644
584	905	642
585	906	640
586	907	638
587	909	637
588	910	635
589	911	633
590	913	631
591	914	630
592	915	628
593	916	626
594	917	624
595	918	622
596	919	620
597	920	618
598	921	616
599	923	615
600	924	614
601	926	612
602	927	610
603	928	608
604	929	606
605	930	605
606	931	603
607	932	601
608	933	599
609	934	597
610	935	595
611	938	594
612	939	593
613	940	591
614	941	589
615	942	587
616	943	585
617	945	584
618	946	582
619	947	580
620	948	578
621	949	576
622	950	575
623	951	573
624	953	571
625	954	570
626	955	568
627	956	566
628	957	564
629	958	562
630	959	561
631	960	559
632	961	557
633	962	555
634	963	554
635	965	552
636	967	551
637	968	549
638	969	547
639	970	546
640	971	544
641	973	542
642	974	541
643	975	539
644	976	537
645	977	535
646	978	534
647	979	532
648	981	530
649	982	529
650	983	527
651	984	525
652	985	523
653	986	522
654	987	520
655	988	518
656	989	516
657	990	514
658	991	513
659	992	511
660	993	509
661	995	508
662	996	506
663	997	504
664	999	503
665	1000	501
666	1001	499
667	1002	498
668	1003	496
669	1004	494
670	1005	493
671	1007	491
672	1008	489
673	1009	488
674	1010	486
675	1011	484
676	1012	483
677	1013	481
678	1015	480
679	1016	478
680	1017	476
681	1018	475
682	1019	473
683	1020	471
684	1021	469
685	1022	468
686	1024	466
687	1025	465
688	1026	463
689	1027	461
690	1028	460
691	1029	458
692	1031	456
693	1032	455
694	1033	453
695	1034	451
696	1035	450
697	1036	448
698	1037	446
699	1038	445
700	1040	443
701	1041	442
702	1042	440
703	1043	438
704	1044	437
705	1045	435
706	1046	433
707	1047	431
708	1048	430
709	1049	428
710	1050	426
711	1051	425
712	1052	423
713	1053	422
714	1055	420
715	1056	418
716	1057	417
717	1058	415
718	1059	413
719	1060	412
720	1061	410
721	1062	409
722	1063	407
723	1064	405
724	1065	404
725	1066	402
726	1068	401
727	1069	399
728	1070	398
729	1071	396
730	1072	394
731	1073	393
732	1074	391
733	1075	389
734	1076	388
735	1077	386
736	1078	385
737	1079	383
738	1081	381
739	1082	380
740	1083	378
741	1084	377
742	1085	375
743	1086	373
744	1087	372
745	1088	370
746	1089	369
747	1090	367
748	1091	365
749	1092	364
750	1093	362
751	1094	360
752	1095	359
753	1096	357
754	1098	356
755	1099	354
756	1100	353
757	1101	351
758	1102	350
759	1103	348
760	1104	346
761	1105	345
762	1106	343
763	1107	342
764	1108	340
765	1109	338
766	1110	337
767	1112	335
768	1113	334
769	1114	332
770	1115	331
771	1116	329
772	1117	328
773	1118	326
774	1119	324
775	1120	323
776	1121	321
777	1122	320
778	1123	318
779	1124	317
780	1125	315
781	1126	314
782	1127	312
783	1128	310
784	1129	309
785	1130	307
786	1131	306
787	1132	304
788	1133	303
789	1134	301
790	1135	300
791	1136	298
792	1138	297
793	1139	295
794	1141	294
795	1142	292
796	1143	291
797	1144	289
798	1145	288
799	1146	286
800	1147	285
801	1148	283
802	1149	282
803	1150	280
804	1152	279
805	1152	277
806	1154	275
807	1155	274
808	1156	272
809	1157	271
810	1158	269
811	1159	268
812	1160	266
813	1161	265
814	1162	263
815	1163	262
816	1164	260
817	1165	259
818	1167	257
819	1168	256
820	1169	254
821	1170	253
822	1171	251
823	1172	250
824	1173	248
825	1174	247
826	1175	245
827	1176	244
828	1177	242
829	1178	241
830	1179	239
831	1180	238
832	1181	236
833	1182	235
834	1184	233
835	1185	232
836	1186	230
837	1187	229
838	1188	227
839	1189	226
840	1190	225
841	1191	223
842	1192	222
843	1193	220
844	1195	219
845	1196	217
846	1197	216
847	1198	214
848	1199	213
849	1200	211
850	1202	210
851	1203	209
852	1204	207
853	1205	206
854	1206	204
855	1207	203
856	1208	201
857	1209	200
858	1210	198
859	1211	197
860	1213	195
861	1214	194
862	1215	192
863	1216	191
864	1217	189
865	1218	188
866	1219	187
867	1220	185
868	1221	184
869	1222	182
870	1223	181
871	1224	179
872	1225	178
873	1227	176
874	1228	175
875	1229	174
876	1230	172
877	1231	171
878	1232	169
879	1233	168
880	1234	166
881	1235	165
882	1236	163
883	1237	162
884	1238	160
885	1240	159
886	1241	158
887	1242	156
888	1243	155
889	1244	153
890	1245	152
891	1246	150
892	1247	149
893	1248	148
894	1249	146
895	1250	145
896	1251	143
897	1252	142
898	1253	140
899	1254	139
900	1256	138
901	1257	136
902	1258	135
903	1259	133
904	1260	132
905	1261	130
906	1262	129
907	1263	128
908	1265	126
909	1266	125
910	1267	123
911	1268	122
912	1269	120
913	1270	119
914	1271	118
915	1272	116
916	1273	115
917	1274	113
918	1275	112
919	1276	111
920	1277	109
921	1278	108
922	1279	106
923	1280	105
924	1281	103
925	1282	102
926	1283	101
927	1284	99
928	1285	98
929	1286	96
930	1288	95
931	1289	94
932	1290	92
933	1291	91
934	1292	89
935	1293	88
936	1294	87
937	1295	85
938	1296	84
939	1297	82
940	1298	81
941	1300	80
942	1301	78
943	1302	77
944	1303	75
945	1304	74
946	1305	73
947	1306	71
948	1307	70
949	1308	68
950	1309	67
951	1310	66
952	1311	64
953	1312	63
954	1314	61
955	1315	60
956	1316	59
957	1317	57
958	1318	56
959	1319	54
960	1320	53
961	1321	52
962	1322	50
963	1323	49
964	1324	48
965	1325	46
966	1326	45
967	1327	43
968	1328	42
969	1329	41
970	1330	39
971	1332	38
972	1333	37
973	1334	35
974	1335	34
975	1336	32
976	1337	31
977	1338	30
978	1340	28
979	1341	27
980	1342	25
981	1343	24
982	1344	23
983	1345	21
984	1346	20
985	1347	19
986	1348	17
987	1349	16
988	1350	15
989	1351	13
990	1352	12
991	1353	10
992	1354	9
993	1355	8
994	1356	6
995	1357	5
996	1358	4
997	1359	2
998	1360	1
999	1361	0
